"english","french"
"[""email address"", ""name""]","[""adresse courriel"", ""nom""]"
"[""phone number"", ""name""]","[""numéro de téléphone"", ""nom""]"
"[In transit, In transit, In transit, Delivered, Blocked,  No such number, No such address, Content or inbox issue, Carrier issue, Tech issue, In transit, Attachment has virus]","[En transit, En transit, En transit, Livré, Bloqué, Aucun numéro, Aucune adresse, Problème de contenu ou de boîte de réception, Problème de transporteur, Problème technique, En transit, Pièce jointe infectée]"
"A reference for this batch","Référence pour ce lot"
"An array of arrays. The first line is the header and should include at least email address if you're sending an email template or phone number if you're sending a text message template. The other column headers should match the placeholder fields (personalised variables) of your template. The following lines should be your recipients' details and should match the order of column headers. You can have between 1 and 50,000 recipients.","Un tableau de tableaux. La première ligne est l’en-tête et doit inclure au moins l’adresse courriel si vous envoyez un modèle courriel ou le numéro de téléphone si vous envoyez un modèle SMS. Les autres en-têtes de colonnes doivent correspondre aux champs de variables personnalisées de votre modèle. Les lignes suivantes doivent contenir les détails de vos destinataires et respecter l’ordre des en-têtes de colonnes. Vous pouvez avoir entre 1 et 50 000 destinataires."
"API for managing notifications and templates","API pour gérer les notifications et les modèles"
"API Key with format 'ApiKey-v1 {api_key}'","Clé API au format « ApiKey-v1 {api_key} »"
"Archive a template","Archiver un modèle"
"Archive a template and remove it from any folder.","Archiver un modèle et le retirer de tout dossier."
"Bad Request","Mauvaise requête"
"Bad request - invalid ID or already archived","Mauvaise requête - ID invalide ou déjà archivé"
"Bad request - invalid notification ID format","Mauvaise requête - format d’ID de notification invalide"
"Bad request - invalid parameters","Mauvaise requête - paramètres invalides"
"Bad request - invalid template ID format","Mauvaise requête - format d’ID de modèle invalide"
"Bad request - validation or category errors","Mauvaise requête - erreurs de validation ou de catégorie"
"Bad request - validation, category, or content limits","Mauvaise requête - validation, catégorie ou limites de contenu"
"Bad request - various validation and business rule errors","Mauvaise requête - erreurs de validation ou de règles métier"
"Basic bulk email notification using csv","Notification groupée par courriel de base utilisant un fichier CSV"
"Basic bulk email notification using rows","Notification groupée par courriel de base utilisant des lignes"
"Basic bulk sms notification using csv","Notification groupée de base par SMS utilisant un fichier CSV"
